Sequence,dose,duration_above_250,duration_above_1000,duration_above_10000
00214,39902.2,23400s (~6.5 hours),18000s (~5 hours),7200s (~2 hours)
00215,46549.9,21600s (~6 hours),18000s (~5 hours),7200s (~2 hours)
00216,39080.95,25200s (~7 hours),19800s (~5.5 hours),5400s (~1.5 hours)
00217,46411.7,19800s (~5.5 hours),16200s (~4.5 hours),9000s (~2.5 hours)
00218,52152.7,27000s (~7.5 hours),19800s (~5.5 hours),10800s (~3 hours)
00219,40632.9,21600s (~6 hours),14400s (~4 hours),7200s (~2 hours)
00220,38897.65,21600s (~6 hours),18000s (~5 hours),5400s (~1.5 hours)
00221,73773,19800s (~5.5 hours),18000s (~5 hours),10800s (~3 hours)
00222,35087.4,25200s (~7 hours),21600s (~6 hours),3600s (~1 hours)
00223,43069.3,21600s (~6 hours),18000s (~5 hours),9000s (~2.5 hours)
00224,57729.6,21600s (~6 hours),16200s (~4.5 hours),9000s (~2.5 hours)
00225,37521.8,21600s (~6 hours),16200s (~4.5 hours),7200s (~2 hours)
00226,76519.5,21600s (~6 hours),19800s (~5.5 hours),10800s (~3 hours)
00227,58056.9,27000s (~7.5 hours),27000s (~7.5 hours),9000s (~2.5 hours)
00228,47881,25200s (~7 hours),21600s (~6 hours),5400s (~1.5 hours)
00229,53540.2,21600s (~6 hours),18000s (~5 hours),7200s (~2 hours)
00230,42134.15,27000s (~7.5 hours),19800s (~5.5 hours),7200s (~2 hours)
00231,46927.65,23400s (~6.5 hours),19800s (~5.5 hours),5400s (~1.5 hours)
00232,60303.54999999999,25200s (~7 hours),21600s (~6 hours),9000s (~2.5 hours)
00233,64004.6,27000s (~7.5 hours),23400s (~6.5 hours),9000s (~2.5 hours)
00234,57985.79999999999,25200s (~7 hours),21600s (~6 hours),10800s (~3 hours)
00235,74144.2,25200s (~7 hours),25200s (~7 hours),14400s (~4 hours)
00236,66599.95,25200s (~7 hours),23400s (~6.5 hours),9000s (~2.5 hours)
00237,64521.9,28800s (~8 hours),25200s (~7 hours),12600s (~3.5 hours)
00238,29095.4,25200s (~7 hours),18000s (~5 hours),1800s (~30 minutes)
00239,59310.35,19800s (~5.5 hours),19800s (~5.5 hours),9000s (~2.5 hours)
00240,32668.2,21600s (~6 hours),16200s (~4.5 hours),3600s (~1 hours)
00241,31461.4,25200s (~7 hours),18000s (~5 hours),5400s (~1.5 hours)
00242,46777.2,27000s (~7.5 hours),19800s (~5.5 hours),9000s (~2.5 hours)
00243,51276.45,19800s (~5.5 hours),14400s (~4 hours),7200s (~2 hours)
00244,36845.95,28800s (~8 hours),19800s (~5.5 hours),5400s (~1.5 hours)
00245,29385.899999999994,19800s (~5.5 hours),16200s (~4.5 hours),5400s (~1.5 hours)
00246,64657.85,21600s (~6 hours),18000s (~5 hours),12600s (~3.5 hours)
00247,37396.3,19800s (~5.5 hours),16200s (~4.5 hours),5400s (~1.5 hours)
00248,56937.9,16200s (~4.5 hours),16200s (~4.5 hours),9000s (~2.5 hours)
00249,69474.55,30600s (~8.5 hours),23400s (~6.5 hours),10800s (~3 hours)
00250,46654.75,25200s (~7 hours),19800s (~5.5 hours),7200s (~2 hours)
00251,32277.15,23400s (~6.5 hours),19800s (~5.5 hours),3600s (~1 hours)
00252,34472.85,27000s (~7.5 hours),19800s (~5.5 hours),1800s (~30 minutes)
00253,43176.6,21600s (~6 hours),18000s (~5 hours),9000s (~2.5 hours)
00254,46046.75,23400s (~6.5 hours),19800s (~5.5 hours),5400s (~1.5 hours)
00255,45436.45,23400s (~6.5 hours),19800s (~5.5 hours),5400s (~1.5 hours)
00256,35437.35,30600s (~8.5 hours),25200s (~7 hours),3600s (~1 hours)
00257,35308.6,21600s (~6 hours),18000s (~5 hours),5400s (~1.5 hours)
00258,53523.2,25200s (~7 hours),19800s (~5.5 hours),10800s (~3 hours)
00259,42270.5,25200s (~7 hours),19800s (~5.5 hours),7200s (~2 hours)
00260,46916.15,25200s (~7 hours),21600s (~6 hours),7200s (~2 hours)
00261,57050.29999999999,21600s (~6 hours),18000s (~5 hours),9000s (~2.5 hours)
00262,58399.4,23400s (~6.5 hours),21600s (~6 hours),9000s (~2.5 hours)
00263,56688.25,28800s (~8 hours),25200s (~7 hours),7200s (~2 hours)
00264,51384.85,23400s (~6.5 hours),18000s (~5 hours),10800s (~3 hours)
00265,54883.4,28800s (~8 hours),23400s (~6.5 hours),7200s (~2 hours)
00266,60494,25200s (~7 hours),21600s (~6 hours),10800s (~3 hours)
00267,58374.25,23400s (~6.5 hours),21600s (~6 hours),9000s (~2.5 hours)
00268,40999.1,27000s (~7.5 hours),21600s (~6 hours),3600s (~1 hours)
00269,36048.85,25200s (~7 hours),18000s (~5 hours),5400s (~1.5 hours)
00270,59269.9,21600s (~6 hours),21600s (~6 hours),7200s (~2 hours)
00271,37120.9,23400s (~6.5 hours),19800s (~5.5 hours),5400s (~1.5 hours)
00272,45253.7,25200s (~7 hours),21600s (~6 hours),5400s (~1.5 hours)
00273,47310.8,21600s (~6 hours),19800s (~5.5 hours),9000s (~2.5 hours)
00274,44324.85,32400s (~9 hours),23400s (~6.5 hours),5400s (~1.5 hours)
00275,54695.15,23400s (~6.5 hours),21600s (~6 hours),7200s (~2 hours)
00276,51865.15,21600s (~6 hours),18000s (~5 hours),10800s (~3 hours)
00277,58037.1,23400s (~6.5 hours),19800s (~5.5 hours),7200s (~2 hours)
00278,51456.75,28800s (~8 hours),21600s (~6 hours),9000s (~2.5 hours)
00279,30910.9,21600s (~6 hours),16200s (~4.5 hours),5400s (~1.5 hours)
00280,31465.350000000006,21600s (~6 hours),18000s (~5 hours),5400s (~1.5 hours)
00281,64553.9,28800s (~8 hours),25200s (~7 hours),9000s (~2.5 hours)
00282,61221.75,23400s (~6.5 hours),21600s (~6 hours),9000s (~2.5 hours)
00283,78388.25,25200s (~7 hours),25200s (~7 hours),10800s (~3 hours)
00284,47988.45,21600s (~6 hours),19800s (~5.5 hours),9000s (~2.5 hours)
00285,64600.29999999999,27000s (~7.5 hours),25200s (~7 hours),9000s (~2.5 hours)
00286,49104.95,21600s (~6 hours),19800s (~5.5 hours),7200s (~2 hours)
00287,63685.649999999994,18000s (~5 hours),16200s (~4.5 hours),9000s (~2.5 hours)
00288,58876.1,19800s (~5.5 hours),19800s (~5.5 hours),12600s (~3.5 hours)
00289,43315.3,23400s (~6.5 hours),18000s (~5 hours),5400s (~1.5 hours)
00290,57905.7,25200s (~7 hours),19800s (~5.5 hours),9000s (~2.5 hours)
00291,64454,27000s (~7.5 hours),21600s (~6 hours),10800s (~3 hours)
00292,36319.25,25200s (~7 hours),19800s (~5.5 hours),3600s (~1 hours)
00293,51573.5,27000s (~7.5 hours),25200s (~7 hours),5400s (~1.5 hours)
00294,53298.75,27000s (~7.5 hours),23400s (~6.5 hours),7200s (~2 hours)
00295,51499.4,21600s (~6 hours),19800s (~5.5 hours),9000s (~2.5 hours)
00296,49761.8,21600s (~6 hours),16200s (~4.5 hours),10800s (~3 hours)
00297,57519.6,19800s (~5.5 hours),16200s (~4.5 hours),9000s (~2.5 hours)
00298,48859.15,18000s (~5 hours),16200s (~4.5 hours),7200s (~2 hours)
00299,64195.6,30600s (~8.5 hours),25200s (~7 hours),9000s (~2.5 hours)
00300,69219.45,27000s (~7.5 hours),23400s (~6.5 hours),10800s (~3 hours)
00301,40689.15,21600s (~6 hours),19800s (~5.5 hours),7200s (~2 hours)
00302,37292.4,19800s (~5.5 hours),16200s (~4.5 hours),7200s (~2 hours)
00303,62495.29999999999,25200s (~7 hours),19800s (~5.5 hours),10800s (~3 hours)
00304,61009.7,27000s (~7.5 hours),23400s (~6.5 hours),7200s (~2 hours)
00305,38644.2,18000s (~5 hours),16200s (~4.5 hours),5400s (~1.5 hours)
00306,28949,28800s (~8 hours),21600s (~6 hours),3600s (~1 hours)
00307,43471.5,25200s (~7 hours),19800s (~5.5 hours),9000s (~2.5 hours)
00308,36393.25,19800s (~5.5 hours),16200s (~4.5 hours),3600s (~1 hours)
