Sequence,dose,duration_above_250,duration_above_1000,duration_above_10000
0259,35588.45,21600s (~6 hours),18000s (~5 hours),5400s (~1.5 hours)
0260,52774.7,23400s (~6.5 hours),16200s (~4.5 hours),9000s (~2.5 hours)
0261,43666.1,25200s (~7 hours),19800s (~5.5 hours),5400s (~1.5 hours)
0262,38875.5,21600s (~6 hours),19800s (~5.5 hours),5400s (~1.5 hours)
0263,53797.04999999999,19800s (~5.5 hours),19800s (~5.5 hours),7200s (~2 hours)
0264,38545.2,23400s (~6.5 hours),19800s (~5.5 hours),3600s (~1 hours)
0265,34794.8,23400s (~6.5 hours),18000s (~5 hours),3600s (~1 hours)
0266,31687.85,21600s (~6 hours),16200s (~4.5 hours),3600s (~1 hours)
0267,59160.6,27000s (~7.5 hours),21600s (~6 hours),7200s (~2 hours)
0268,34241,21600s (~6 hours),19800s (~5.5 hours),3600s (~1 hours)
0269,52615.35,23400s (~6.5 hours),19800s (~5.5 hours),7200s (~2 hours)
0270,42821.15,21600s (~6 hours),16200s (~4.5 hours),7200s (~2 hours)
0271,55397.7,23400s (~6.5 hours),19800s (~5.5 hours),7200s (~2 hours)
0272,50111.4,28800s (~8 hours),23400s (~6.5 hours),5400s (~1.5 hours)
0273,51371.04999999999,23400s (~6.5 hours),16200s (~4.5 hours),9000s (~2.5 hours)
0274,39752.7,21600s (~6 hours),16200s (~4.5 hours),7200s (~2 hours)
0275,40870.25,19800s (~5.5 hours),19800s (~5.5 hours),5400s (~1.5 hours)
0276,43277.75,23400s (~6.5 hours),18000s (~5 hours),7200s (~2 hours)
0277,39781.85,19800s (~5.5 hours),18000s (~5 hours),7200s (~2 hours)
0278,48825.4,23400s (~6.5 hours),18000s (~5 hours),5400s (~1.5 hours)
0279,46226.3,27000s (~7.5 hours),21600s (~6 hours),5400s (~1.5 hours)
0280,49413.95,25200s (~7 hours),18000s (~5 hours),9000s (~2.5 hours)
0281,52078.54999999999,19800s (~5.5 hours),18000s (~5 hours),9000s (~2.5 hours)
0282,50550.7,23400s (~6.5 hours),16200s (~4.5 hours),7200s (~2 hours)
0283,40050.4,23400s (~6.5 hours),19800s (~5.5 hours),5400s (~1.5 hours)
0284,47958.1,25200s (~7 hours),21600s (~6 hours),7200s (~2 hours)
0285,47100.4,19800s (~5.5 hours),16200s (~4.5 hours),7200s (~2 hours)
0286,43592.15,25200s (~7 hours),21600s (~6 hours),7200s (~2 hours)
0287,36876.9,23400s (~6.5 hours),23400s (~6.5 hours),3600s (~1 hours)
0288,41591.95,23400s (~6.5 hours),19800s (~5.5 hours),5400s (~1.5 hours)
0289,37775.1,19800s (~5.5 hours),16200s (~4.5 hours),7200s (~2 hours)
0290,34297.65,19800s (~5.5 hours),18000s (~5 hours),5400s (~1.5 hours)
0291,43494.05,21600s (~6 hours),18000s (~5 hours),5400s (~1.5 hours)
0292,54654.9,21600s (~6 hours),19800s (~5.5 hours),7200s (~2 hours)
0293,37597.3,21600s (~6 hours),18000s (~5 hours),7200s (~2 hours)
0294,57005.35,23400s (~6.5 hours),21600s (~6 hours),7200s (~2 hours)
0295,56021.1,21600s (~6 hours),18000s (~5 hours),9000s (~2.5 hours)
0296,50512.65,19800s (~5.5 hours),18000s (~5 hours),7200s (~2 hours)
0297,48784.5,21600s (~6 hours),18000s (~5 hours),7200s (~2 hours)
0298,59672.6,23400s (~6.5 hours),19800s (~5.5 hours),9000s (~2.5 hours)
0299,49405.1,23400s (~6.5 hours),16200s (~4.5 hours),7200s (~2 hours)
0300,56791.79999999999,21600s (~6 hours),18000s (~5 hours),9000s (~2.5 hours)
0301,52723.55,18000s (~5 hours),18000s (~5 hours),9000s (~2.5 hours)
0302,44099.2,21600s (~6 hours),18000s (~5 hours),9000s (~2.5 hours)
0303,34435.8,21600s (~6 hours),18000s (~5 hours),3600s (~1 hours)
0304,52027.35,23400s (~6.5 hours),19800s (~5.5 hours),5400s (~1.5 hours)
0305,38232.35,21600s (~6 hours),16200s (~4.5 hours),5400s (~1.5 hours)
0306,37639.85,21600s (~6 hours),14400s (~4 hours),9000s (~2.5 hours)
0307,48996.2,23400s (~6.5 hours),18000s (~5 hours),5400s (~1.5 hours)
0308,50167.35,23400s (~6.5 hours),18000s (~5 hours),10800s (~3 hours)
0309,45452.25,23400s (~6.5 hours),18000s (~5 hours),7200s (~2 hours)
0310,50580.45,23400s (~6.5 hours),19800s (~5.5 hours),9000s (~2.5 hours)
0311,45960.9,25200s (~7 hours),19800s (~5.5 hours),9000s (~2.5 hours)
0312,39936.1,23400s (~6.5 hours),19800s (~5.5 hours),5400s (~1.5 hours)
0313,58140.25,25200s (~7 hours),23400s (~6.5 hours),5400s (~1.5 hours)
0314,34466.1,25200s (~7 hours),16200s (~4.5 hours),5400s (~1.5 hours)
0315,47226.15,25200s (~7 hours),21600s (~6 hours),7200s (~2 hours)
0316,46550.04999999999,25200s (~7 hours),18000s (~5 hours),7200s (~2 hours)
0317,57529.4,23400s (~6.5 hours),18000s (~5 hours),9000s (~2.5 hours)
0318,58088.79999999999,23400s (~6.5 hours),19800s (~5.5 hours),9000s (~2.5 hours)
0319,41846.8,21600s (~6 hours),18000s (~5 hours),7200s (~2 hours)
0320,37556.45,23400s (~6.5 hours),16200s (~4.5 hours),5400s (~1.5 hours)
0321,43894.5,23400s (~6.5 hours),19800s (~5.5 hours),7200s (~2 hours)
0322,54357.55,21600s (~6 hours),18000s (~5 hours),9000s (~2.5 hours)
0323,29703.95,18000s (~5 hours),16200s (~4.5 hours),1800s (~30 minutes)
0324,46269.9,21600s (~6 hours),18000s (~5 hours),5400s (~1.5 hours)
0325,42258.7,23400s (~6.5 hours),18000s (~5 hours),7200s (~2 hours)
0326,45989.1,23400s (~6.5 hours),18000s (~5 hours),5400s (~1.5 hours)
0327,49440.6,23400s (~6.5 hours),21600s (~6 hours),9000s (~2.5 hours)
0328,42529.35,23400s (~6.5 hours),23400s (~6.5 hours),5400s (~1.5 hours)
0329,37349.45,18000s (~5 hours),16200s (~4.5 hours),5400s (~1.5 hours)
0330,45236.15,21600s (~6 hours),16200s (~4.5 hours),5400s (~1.5 hours)
