Sequence,dose,duration_above_250,duration_above_1000,duration_above_10000
00165,33350.65,23400s (~6.5 hours),19800s (~5.5 hours),5400s (~1.5 hours)
00166,39200.7,21600s (~6 hours),18000s (~5 hours),5400s (~1.5 hours)
00167,52089.85,21600s (~6 hours),18000s (~5 hours),10800s (~3 hours)
00168,38764.85,25200s (~7 hours),14400s (~4 hours),7200s (~2 hours)
00169,64335.65,21600s (~6 hours),19800s (~5.5 hours),9000s (~2.5 hours)
00170,47147.1,25200s (~7 hours),21600s (~6 hours),7200s (~2 hours)
00171,45030.85,23400s (~6.5 hours),18000s (~5 hours),7200s (~2 hours)
00172,47819.65,27000s (~7.5 hours),19800s (~5.5 hours),7200s (~2 hours)
00173,35145.5,19800s (~5.5 hours),14400s (~4 hours),5400s (~1.5 hours)
00174,41891.35,23400s (~6.5 hours),16200s (~4.5 hours),7200s (~2 hours)
00175,43881.8,23400s (~6.5 hours),19800s (~5.5 hours),7200s (~2 hours)
00176,45799.45,25200s (~7 hours),21600s (~6 hours),7200s (~2 hours)
00177,33056.15,18000s (~5 hours),14400s (~4 hours),7200s (~2 hours)
00178,50772.7,25200s (~7 hours),19800s (~5.5 hours),9000s (~2.5 hours)
00179,51994,25200s (~7 hours),21600s (~6 hours),9000s (~2.5 hours)
00180,49049.5,23400s (~6.5 hours),21600s (~6 hours),7200s (~2 hours)
00181,47332.9,19800s (~5.5 hours),16200s (~4.5 hours),12600s (~3.5 hours)
00182,36971.7,25200s (~7 hours),18000s (~5 hours),7200s (~2 hours)
00183,44257.2,23400s (~6.5 hours),19800s (~5.5 hours),5400s (~1.5 hours)
00184,61523,25200s (~7 hours),21600s (~6 hours),10800s (~3 hours)
00185,69067.45,27000s (~7.5 hours),27000s (~7.5 hours),7200s (~2 hours)
00186,37406.3,23400s (~6.5 hours),23400s (~6.5 hours),5400s (~1.5 hours)
00187,55671.6,23400s (~6.5 hours),19800s (~5.5 hours),9000s (~2.5 hours)
00188,69568.55,25200s (~7 hours),23400s (~6.5 hours),9000s (~2.5 hours)
00189,62644.55,23400s (~6.5 hours),23400s (~6.5 hours),9000s (~2.5 hours)
00190,41414.7,25200s (~7 hours),19800s (~5.5 hours),3600s (~1 hours)
00191,51656,23400s (~6.5 hours),16200s (~4.5 hours),7200s (~2 hours)
00192,56245.4,27000s (~7.5 hours),19800s (~5.5 hours),9000s (~2.5 hours)
00193,45419.75,25200s (~7 hours),23400s (~6.5 hours),5400s (~1.5 hours)
00194,43585,27000s (~7.5 hours),21600s (~6 hours),7200s (~2 hours)
00195,56931.79999999999,27000s (~7.5 hours),19800s (~5.5 hours),7200s (~2 hours)
00196,48393.29999999999,21600s (~6 hours),19800s (~5.5 hours),7200s (~2 hours)
00197,40562.4,25200s (~7 hours),19800s (~5.5 hours),5400s (~1.5 hours)
00198,34881.6,19800s (~5.5 hours),18000s (~5 hours),5400s (~1.5 hours)
00199,49234.3,23400s (~6.5 hours),18000s (~5 hours),9000s (~2.5 hours)
00200,69827.05,23400s (~6.5 hours),21600s (~6 hours),10800s (~3 hours)
00201,57034.4,25200s (~7 hours),18000s (~5 hours),9000s (~2.5 hours)
00202,54999.25,21600s (~6 hours),21600s (~6 hours),10800s (~3 hours)
00203,56080.65,27000s (~7.5 hours),23400s (~6.5 hours),9000s (~2.5 hours)
00204,70756.75,27000s (~7.5 hours),19800s (~5.5 hours),12600s (~3.5 hours)
00205,54298.4,27000s (~7.5 hours),21600s (~6 hours),9000s (~2.5 hours)
00206,66510.1,23400s (~6.5 hours),21600s (~6 hours),14400s (~4 hours)
00207,32311.65,25200s (~7 hours),19800s (~5.5 hours),3600s (~1 hours)
00208,35868.2,21600s (~6 hours),14400s (~4 hours),7200s (~2 hours)
00209,76014.15,25200s (~7 hours),23400s (~6.5 hours),9000s (~2.5 hours)
00210,50928.3,30600s (~8.5 hours),23400s (~6.5 hours),7200s (~2 hours)
00211,38284.15,25200s (~7 hours),18000s (~5 hours),5400s (~1.5 hours)
00212,33056.25,23400s (~6.5 hours),16200s (~4.5 hours),5400s (~1.5 hours)
00213,42123.4,23400s (~6.5 hours),18000s (~5 hours),7200s (~2 hours)
00214,41059.2,21600s (~6 hours),14400s (~4 hours),9000s (~2.5 hours)
00215,39306.54999999999,19800s (~5.5 hours),16200s (~4.5 hours),7200s (~2 hours)
00216,34104.55,23400s (~6.5 hours),16200s (~4.5 hours),5400s (~1.5 hours)
00217,61196.75,21600s (~6 hours),18000s (~5 hours),10800s (~3 hours)
00218,75573.59999999998,19800s (~5.5 hours),18000s (~5 hours),12600s (~3.5 hours)
00219,48540.35,18000s (~5 hours),14400s (~4 hours),7200s (~2 hours)
00220,38857.15,27000s (~7.5 hours),21600s (~6 hours),3600s (~1 hours)
00221,58032.35,21600s (~6 hours),18000s (~5 hours),9000s (~2.5 hours)
00222,52000.2,19800s (~5.5 hours),19800s (~5.5 hours),10800s (~3 hours)
00223,65323.95,32400s (~9 hours),28800s (~8 hours),5400s (~1.5 hours)
00224,53685.1,23400s (~6.5 hours),21600s (~6 hours),9000s (~2.5 hours)
00225,33729.3,23400s (~6.5 hours),16200s (~4.5 hours),5400s (~1.5 hours)
00226,43360.75,23400s (~6.5 hours),19800s (~5.5 hours),5400s (~1.5 hours)
00227,47416.2,23400s (~6.5 hours),18000s (~5 hours),9000s (~2.5 hours)
00228,71494.2,21600s (~6 hours),19800s (~5.5 hours),10800s (~3 hours)
00229,46126.7,23400s (~6.5 hours),21600s (~6 hours),7200s (~2 hours)
00230,35255.45,23400s (~6.5 hours),18000s (~5 hours),5400s (~1.5 hours)
00231,70065.34999999999,23400s (~6.5 hours),21600s (~6 hours),9000s (~2.5 hours)
00232,53222.2,19800s (~5.5 hours),19800s (~5.5 hours),9000s (~2.5 hours)
00233,40769.85,23400s (~6.5 hours),21600s (~6 hours),5400s (~1.5 hours)
00234,59440.65,28800s (~8 hours),23400s (~6.5 hours),7200s (~2 hours)
00235,58124.54999999999,27000s (~7.5 hours),23400s (~6.5 hours),7200s (~2 hours)
00236,39485.85,21600s (~6 hours),14400s (~4 hours),9000s (~2.5 hours)
00237,68446.9,27000s (~7.5 hours),23400s (~6.5 hours),9000s (~2.5 hours)
00238,44564.6,23400s (~6.5 hours),18000s (~5 hours),9000s (~2.5 hours)
00239,51845.8,25200s (~7 hours),23400s (~6.5 hours),7200s (~2 hours)
00240,35499.8,23400s (~6.5 hours),14400s (~4 hours),5400s (~1.5 hours)
00241,46868.75,21600s (~6 hours),19800s (~5.5 hours),5400s (~1.5 hours)
00242,46133.7,23400s (~6.5 hours),16200s (~4.5 hours),7200s (~2 hours)
00243,35976.6,23400s (~6.5 hours),19800s (~5.5 hours),3600s (~1 hours)
00244,54628.15,27000s (~7.5 hours),19800s (~5.5 hours),10800s (~3 hours)
00245,39240.9,25200s (~7 hours),16200s (~4.5 hours),7200s (~2 hours)
00246,45526.25,21600s (~6 hours),19800s (~5.5 hours),7200s (~2 hours)
00247,40953,27000s (~7.5 hours),18000s (~5 hours),9000s (~2.5 hours)
00248,57469.2,19800s (~5.5 hours),16200s (~4.5 hours),9000s (~2.5 hours)
00249,38096.45000000001,25200s (~7 hours),19800s (~5.5 hours),5400s (~1.5 hours)
00250,37293.2,19800s (~5.5 hours),18000s (~5 hours),5400s (~1.5 hours)
00251,51318.75,25200s (~7 hours),19800s (~5.5 hours),9000s (~2.5 hours)
00252,43402.7,21600s (~6 hours),16200s (~4.5 hours),9000s (~2.5 hours)
00253,32232.35,19800s (~5.5 hours),14400s (~4 hours),7200s (~2 hours)
00254,40625.7,19800s (~5.5 hours),18000s (~5 hours),7200s (~2 hours)
00255,50858.15,23400s (~6.5 hours),21600s (~6 hours),10800s (~3 hours)
00256,54118.3,21600s (~6 hours),16200s (~4.5 hours),9000s (~2.5 hours)
00257,30307.2,21600s (~6 hours),14400s (~4 hours),5400s (~1.5 hours)
00258,30329.899999999994,21600s (~6 hours),16200s (~4.5 hours),5400s (~1.5 hours)
00259,52480.65,23400s (~6.5 hours),18000s (~5 hours),7200s (~2 hours)
00260,36245.5,23400s (~6.5 hours),19800s (~5.5 hours),3600s (~1 hours)
00261,60767.35,23400s (~6.5 hours),21600s (~6 hours),9000s (~2.5 hours)
00262,43070.2,23400s (~6.5 hours),19800s (~5.5 hours),7200s (~2 hours)
00263,45522.79999999999,25200s (~7 hours),19800s (~5.5 hours),7200s (~2 hours)
00264,33454.25,23400s (~6.5 hours),21600s (~6 hours),3600s (~1 hours)
00265,52686.7,23400s (~6.5 hours),21600s (~6 hours),9000s (~2.5 hours)
00266,28479.05,21600s (~6 hours),16200s (~4.5 hours),3600s (~1 hours)
00267,59031.95,23400s (~6.5 hours),19800s (~5.5 hours),9000s (~2.5 hours)
00268,56121.3,21600s (~6 hours),19800s (~5.5 hours),9000s (~2.5 hours)
00269,59693.7,25200s (~7 hours),18000s (~5 hours),10800s (~3 hours)
00270,35213.3,27000s (~7.5 hours),16200s (~4.5 hours),5400s (~1.5 hours)
00271,54408.2,19800s (~5.5 hours),16200s (~4.5 hours),9000s (~2.5 hours)
00272,60006.85,23400s (~6.5 hours),19800s (~5.5 hours),9000s (~2.5 hours)
00273,40873.9,23400s (~6.5 hours),19800s (~5.5 hours),7200s (~2 hours)
00274,67919.75,19800s (~5.5 hours),18000s (~5 hours),9000s (~2.5 hours)
00275,44683.3,25200s (~7 hours),21600s (~6 hours),7200s (~2 hours)
00276,62650.3,25200s (~7 hours),23400s (~6.5 hours),12600s (~3.5 hours)
00277,26801.5,18000s (~5 hours),12600s (~3.5 hours),7200s (~2 hours)
00278,62299.35,28800s (~8 hours),25200s (~7 hours),9000s (~2.5 hours)
00279,46716.45,23400s (~6.5 hours),18000s (~5 hours),7200s (~2 hours)
00280,67607.35,25200s (~7 hours),19800s (~5.5 hours),10800s (~3 hours)
00281,38208.25,25200s (~7 hours),19800s (~5.5 hours),3600s (~1 hours)
00282,68227.8,28800s (~8 hours),23400s (~6.5 hours),9000s (~2.5 hours)
00283,28877.1,18000s (~5 hours),10800s (~3 hours),5400s (~1.5 hours)
00284,57537.9,27000s (~7.5 hours),23400s (~6.5 hours),9000s (~2.5 hours)
00285,65161,23400s (~6.5 hours),19800s (~5.5 hours),10800s (~3 hours)
00286,44584.5,21600s (~6 hours),16200s (~4.5 hours),9000s (~2.5 hours)
00287,50282.75,25200s (~7 hours),21600s (~6 hours),5400s (~1.5 hours)
00288,62665.95,25200s (~7 hours),21600s (~6 hours),9000s (~2.5 hours)
00289,60992.1,27000s (~7.5 hours),23400s (~6.5 hours),7200s (~2 hours)
00290,48231.75,25200s (~7 hours),19800s (~5.5 hours),9000s (~2.5 hours)
00291,59708.65,30600s (~8.5 hours),23400s (~6.5 hours),9000s (~2.5 hours)
00292,57735.15,28800s (~8 hours),23400s (~6.5 hours),9000s (~2.5 hours)
00293,54347.29999999999,21600s (~6 hours),16200s (~4.5 hours),9000s (~2.5 hours)
00294,39148.15,23400s (~6.5 hours),19800s (~5.5 hours),5400s (~1.5 hours)
00295,49795.79999999999,25200s (~7 hours),23400s (~6.5 hours),7200s (~2 hours)
00296,36744.05,21600s (~6 hours),14400s (~4 hours),7200s (~2 hours)
00297,41158.8,21600s (~6 hours),19800s (~5.5 hours),7200s (~2 hours)
00298,74006.5,28800s (~8 hours),27000s (~7.5 hours),10800s (~3 hours)
00299,49739.45,25200s (~7 hours),21600s (~6 hours),7200s (~2 hours)
00300,46940.3,28800s (~8 hours),23400s (~6.5 hours),5400s (~1.5 hours)
00301,61594.5,23400s (~6.5 hours),23400s (~6.5 hours),10800s (~3 hours)
00302,47127.35,25200s (~7 hours),19800s (~5.5 hours),9000s (~2.5 hours)
00303,64572.7,27000s (~7.5 hours),25200s (~7 hours),7200s (~2 hours)
00304,50985.9,23400s (~6.5 hours),19800s (~5.5 hours),7200s (~2 hours)
00305,24064.9,19800s (~5.5 hours),10800s (~3 hours),5400s (~1.5 hours)
00306,48448.25,21600s (~6 hours),19800s (~5.5 hours),9000s (~2.5 hours)
00307,63009.65,28800s (~8 hours),23400s (~6.5 hours),7200s (~2 hours)
00308,51667,27000s (~7.5 hours),19800s (~5.5 hours),7200s (~2 hours)
00309,34072.2,18000s (~5 hours),14400s (~4 hours),5400s (~1.5 hours)
00310,34155.25,19800s (~5.5 hours),16200s (~4.5 hours),5400s (~1.5 hours)
00311,35986.05,18000s (~5 hours),14400s (~4 hours),7200s (~2 hours)
00312,63199.85,23400s (~6.5 hours),18000s (~5 hours),10800s (~3 hours)
00313,55758.25,25200s (~7 hours),19800s (~5.5 hours),9000s (~2.5 hours)
00314,37466.7,23400s (~6.5 hours),18000s (~5 hours),5400s (~1.5 hours)
00315,50409.25,21600s (~6 hours),19800s (~5.5 hours),9000s (~2.5 hours)
00316,80574.05,25200s (~7 hours),23400s (~6.5 hours),10800s (~3 hours)
00317,41304.4,23400s (~6.5 hours),19800s (~5.5 hours),5400s (~1.5 hours)
00318,36508.1,19800s (~5.5 hours),16200s (~4.5 hours),5400s (~1.5 hours)
00319,43388.1,25200s (~7 hours),23400s (~6.5 hours),5400s (~1.5 hours)
00320,42770,19800s (~5.5 hours),18000s (~5 hours),5400s (~1.5 hours)
00321,54418.95,27000s (~7.5 hours),25200s (~7 hours),9000s (~2.5 hours)
00322,25371,19800s (~5.5 hours),16200s (~4.5 hours),3600s (~1 hours)
00323,51283.85,27000s (~7.5 hours),19800s (~5.5 hours),9000s (~2.5 hours)
00324,58641.29999999999,21600s (~6 hours),18000s (~5 hours),9000s (~2.5 hours)
00325,41636.35,25200s (~7 hours),18000s (~5 hours),7200s (~2 hours)
00326,37830.1,23400s (~6.5 hours),19800s (~5.5 hours),5400s (~1.5 hours)
00327,31604.2,21600s (~6 hours),14400s (~4 hours),5400s (~1.5 hours)
