Sequence,dose,duration_above_250,duration_above_1000,duration_above_10000
0239,21151.3,16200s (~4.5 hours),12600s (~3.5 hours),1800s (~30 minutes)
0240,51151.9,25200s (~7 hours),23400s (~6.5 hours),5400s (~1.5 hours)
0241,46290.45,19800s (~5.5 hours),18000s (~5 hours),5400s (~1.5 hours)
0242,44412.25,25200s (~7 hours),21600s (~6 hours),5400s (~1.5 hours)
0243,30877.35,23400s (~6.5 hours),14400s (~4 hours),7200s (~2 hours)
0244,36815.95,25200s (~7 hours),19800s (~5.5 hours),3600s (~1 hours)
0245,29061.45,23400s (~6.5 hours),18000s (~5 hours),1800s (~30 minutes)
0246,57129.4,23400s (~6.5 hours),18000s (~5 hours),10800s (~3 hours)
0247,29214.399999999994,18000s (~5 hours),16200s (~4.5 hours),3600s (~1 hours)
0248,45415.1,25200s (~7 hours),23400s (~6.5 hours),7200s (~2 hours)
0249,36531.45,18000s (~5 hours),16200s (~4.5 hours),5400s (~1.5 hours)
0250,34718.1,23400s (~6.5 hours),16200s (~4.5 hours),3600s (~1 hours)
0251,38632.29999999999,18000s (~5 hours),14400s (~4 hours),5400s (~1.5 hours)
0252,58949.15,30600s (~8.5 hours),21600s (~6 hours),10800s (~3 hours)
0253,51482.65,25200s (~7 hours),23400s (~6.5 hours),7200s (~2 hours)
0254,39320.35,18000s (~5 hours),12600s (~3.5 hours),7200s (~2 hours)
0255,36845,18000s (~5 hours),14400s (~4 hours),5400s (~1.5 hours)
0256,23105.25,14400s (~4 hours),12600s (~3.5 hours),1800s (~30 minutes)
0257,64822.95,28800s (~8 hours),21600s (~6 hours),10800s (~3 hours)
0258,37850.25,25200s (~7 hours),16200s (~4.5 hours),5400s (~1.5 hours)
0259,52614.9,30600s (~8.5 hours),25200s (~7 hours),7200s (~2 hours)
0260,41328.65,19800s (~5.5 hours),19800s (~5.5 hours),7200s (~2 hours)
0261,55489.65,30600s (~8.5 hours),23400s (~6.5 hours),10800s (~3 hours)
0262,21533.7,19800s (~5.5 hours),12600s (~3.5 hours),1800s (~30 minutes)
0263,37163.2,18000s (~5 hours),14400s (~4 hours),7200s (~2 hours)
0264,30232.25,16200s (~4.5 hours),12600s (~3.5 hours),3600s (~1 hours)
0265,56492.45,28800s (~8 hours),19800s (~5.5 hours),10800s (~3 hours)
0266,39138.6,18000s (~5 hours),18000s (~5 hours),5400s (~1.5 hours)
0267,67321.15,27000s (~7.5 hours),25200s (~7 hours),9000s (~2.5 hours)
0268,40228.9,16200s (~4.5 hours),16200s (~4.5 hours),7200s (~2 hours)
0269,64853.9,23400s (~6.5 hours),21600s (~6 hours),10800s (~3 hours)
0270,61493,25200s (~7 hours),21600s (~6 hours),10800s (~3 hours)
0271,38921.6,25200s (~7 hours),21600s (~6 hours),3600s (~1 hours)
0272,65907.75,25200s (~7 hours),23400s (~6.5 hours),12600s (~3.5 hours)
0273,48285.35,27000s (~7.5 hours),25200s (~7 hours),7200s (~2 hours)
0274,58918.45,25200s (~7 hours),21600s (~6 hours),9000s (~2.5 hours)
0275,20167.55,19800s (~5.5 hours),10800s (~3 hours),0s
0276,45721.75,28800s (~8 hours),19800s (~5.5 hours),7200s (~2 hours)
0277,67463.5,23400s (~6.5 hours),23400s (~6.5 hours),10800s (~3 hours)
0278,38263.85,18000s (~5 hours),14400s (~4 hours),9000s (~2.5 hours)
0279,73957.7,21600s (~6 hours),18000s (~5 hours),12600s (~3.5 hours)
0280,32237.5,21600s (~6 hours),19800s (~5.5 hours),1800s (~30 minutes)
0281,52960.75,27000s (~7.5 hours),23400s (~6.5 hours),9000s (~2.5 hours)
